id_vuelo,id_recurso
12,127
13,269
14,208
15,347
6,102
16,343
18,104
17,85
19,91
21,334
20,87
22,259
24,95
25,54
3,254
27,208
23,267
28,35
26,212
30,219
11,285
32,304
33,260
29,194
34,3
35,267
37,239
38,147
36,239
39,162
40,173
31,283
10,319
4,215
43,79
1,39
5,31
7,252
44,90
2,171
45,329
46,333
47,330
48,13
49,193
50,299
51,177
52,31
53,27
54,283
55,179
9,17
56,223
42,41
57,84
66,297
8,274
67,124
69,214
68,142
70,245
72,13
73,69
74,250
75,321
76,138
77,247
78,29
79,237
65,115
80,168
71,47
81,246
83,297
58,168
59,288
84,129
62,337
82,336
63,115
60,81
64,188
61,265
94,60
95,29
96,172
97,195
98,8
99,145
100,11
102,193
103,342
104,256
89,341
105,191
101,36
106,146
109,23
108,51
107,338
110,97
111,99
112,168
86,25
85,223
87,228
91,300
90,208
92,254
88,321
114,98
115,47
116,132
117,261
118,256
113,339
119,139
120,260
121,140
122,296
123,216
124,7
127,206
135,245
130,91
41,156
137,158
134,224
138,220
139,140
141,240
140,146
143,97
144,145
136,195
145,252
142,278
147,304
148,293
146,184
131,225
126,150
128,324
132,41
152,107
125,4
129,47
151,210
153,329
154,54
150,105
155,197
156,131
157,194
133,278
159,6
160,125
162,26
163,27
161,170
164,328
158,28
165,233
149,254
173,274
175,132
169,218
176,97
177,34
178,343
180,197
179,77
181,93
183,57
184,164
186,325
182,129
166,77
171,16
167,137
172,240
168,278
185,2
174,221
196,63
197,220
198,30
193,102
200,314
199,349
170,233
201,1
191,43
202,314
204,118
203,341
206,105
207,136
205,117
208,73
209,265
192,152
188,99
187,81
195,109
190,263
194,108
189,257
93,177
221,326
222,128
223,153
224,239
225,233
226,175
215,246
227,311
228,39
230,258
229,7
232,46
233,161
231,307
213,170
214,245
234,128
218,350
217,165
236,56
239,51
240,157
238,178
241,346
242,229
244,50
245,271
243,198
246,282
247,116
248,323
212,77
220,3
251,238
219,159
210,175
211,316
250,144
249,181
216,318
237,196
254,317
256,98
255,262
257,62
252,259
253,175
235,95
258,304
259,87
261,258
262,242
260,196
263,311
264,16
266,276
267,45
268,344
265,270
269,293
270,10
273,245
283,95
284,98
282,310
285,51
286,282
287,124
288,213
289,285
290,266
291,131
292,138
293,283
295,282
296,317
294,148
297,297
274,43
275,268
276,94
272,48
277,165
299,177
278,337
279,350
280,130
281,90
271,224
300,270
303,226
302,285
301,211
304,104
307,316
306,308
309,138
310,107
305,187
311,324
312,98
308,234
298,242
313,183
315,284
314,16
316,26
317,63
319,214
328,251
327,261
331,146
329,262
330,28
332,226
333,136
334,122
320,60
323,110
324,349
321,64
325,38
322,38
318,118
326,166
335,191
337,211
338,251
336,138
339,188
341,65
342,258
343,146
340,144
344,4
346,278
347,245
345,73
359,203
360,177
353,73
361,208
362,257
363,187
348,248
354,203
355,83
349,80
356,300
357,103
350,172
358,94
351,306
352,63
364,26
366,3
365,344
367,279
368,138
370,188
371,61
372,261
373,198
374,217
369,2
375,139
376,43
378,66
383,119
388,51
389,221
390,165
392,323
393,337
394,269
395,301
391,108
398,350
397,213
399,161
396,242
401,316
386,149
400,64
404,295
403,94
377,337
405,341
379,301
380,265
387,309
406,293
408,94
409,336
410,317
411,191
407,5
412,41
413,207
415,157
385,174
416,57
417,167
418,29
382,204
384,275
402,19
381,71
414,105
430,302
431,112
432,192
433,113
434,270
435,309
436,293
437,63
424,148
438,165
439,217
440,166
441,326
442,179
444,341
428,291
429,151
443,282
448,327
449,139
427,276
447,112
451,15
450,168
452,141
453,54
456,195
457,329
458,47
455,328
446,21
454,144
459,164
460,117
461,29
419,318
421,216
466,273
468,266
445,88
469,341
465,347
470,53
471,315
472,111
467,7
474,235
475,312
477,63
478,312
479,140
480,6
425,86
422,12
473,272
462,98
420,106
423,178
481,48
476,40
464,78
463,118
483,81
482,33
488,314
489,260
426,340
487,316
486,68
484,275
485,253
501,151
502,102
503,74
504,268
505,53
493,77
507,165
508,147
492,292
510,204
511,70
512,226
498,327
513,102
514,178
490,274
496,332
497,262
500,23
506,84
516,254
519,316
520,62
521,29
522,93
523,77
525,139
518,269
524,288
517,134
515,133
495,211
499,227
509,229
494,303
527,268
491,21
526,138
529,278
528,58
531,237
537,38
536,122
533,337
532,224
538,182
530,331
540,334
539,225
541,29
542,174
534,140
535,181
543,232
544,111
545,20
547,185
546,186
548,51
549,209
550,163
551,304
552,211
553,276
555,75
556,290
559,24
558,29
554,264
560,65
561,319
563,272
557,221
564,236
568,168
574,302
573,58
565,274
575,240
576,222
572,175
577,37
570,30
578,284
579,74
580,340
581,196
571,164
582,280
567,148
583,265
569,172
587,248
562,205
588,330
590,16
594,4
595,94
596,67
597,285
593,59
592,240
589,91
584,29
604,176
605,68
600,134
591,301
585,124
606,33
566,261
602,250
586,71
609,204
615,341
614,253
610,215
613,192
616,216
607,21
612,161
603,169
601,17
617,291
620,75
599,20
619,308
621,56
618,240
611,297
624,264
622,328
625,350
598,321
623,156
608,99
626,331
627,262
628,207
630,12
631,92
629,18
632,102
633,10
635,210
636,194
637,47
638,312
634,48
639,85
640,256
646,56
652,16
653,310
654,113
655,14
656,241
643,131
657,350
658,5
659,96
661,87
662,275
663,6
665,317
664,51
649,95
650,226
642,227
647,13
651,164
648,245
660,27
669,177
644,227
668,35
667,209
645,304
666,130
641,306
672,341
673,156
671,22
674,273
676,286
675,117
678,150
679,140
680,299
682,349
681,165
677,154
670,123
694,40
695,313
696,266
697,29
698,106
699,338
700,335
701,300
702,47
703,248
704,122
705,335
706,226
707,162
708,193
709,93
688,54
710,133
711,179
689,50
690,199
683,281
684,126
685,209
686,6
687,174
693,305
692,34
712,239
691,204
714,317
713,209
715,36
716,232
717,74
718,25
719,73
720,178
721,195
722,146
724,29
723,91
725,20
726,205
730,193
731,131
740,60
741,312
742,245
739,139
729,246
744,337
745,312
746,187
748,235
749,210
747,120
743,235
751,282
750,243
752,35
753,22
754,178
727,195
736,48
758,111
759,67
760,202
761,342
735,27
763,338
762,272
757,180
765,151
766,103
764,75
737,33
767,204
769,89
768,258
770,225
771,228
772,277
773,256
774,181
734,173
728,54
756,290
733,184
755,136
738,173
779,177
784,224
785,138
787,245
788,274
786,26
776,255
790,323
789,62
792,189
791,262
794,69
793,118
795,216
797,264
796,295
780,308
778,19
781,148
777,101
798,339
775,297
783,336
802,136
801,26
803,127
804,332
805,46
806,182
808,24
810,313
811,146
813,325
809,34
807,203
814,226
815,40
812,197
800,39
799,65
818,1
820,258
819,100
826,201
827,317
822,268
828,138
829,244
831,148
825,163
833,347
834,168
835,202
830,188
837,77
838,238
836,260
839,190
842,288
843,245
844,335
832,240
817,253
840,192
821,344
823,25
824,316
845,165
846,89
841,234
848,273
847,119
849,181
851,278
850,75
852,70
853,339
855,47
816,39
857,98
858,189
859,327
856,301
854,272
860,15
861,311
863,48
864,240
862,198
865,127
874,160
875,101
876,302
877,242
878,42
879,146
880,287
881,206
882,244
883,39
884,109
885,117
782,334
886,173
888,79
889,327
869,285
890,193
866,153
872,48
867,199
891,305
868,348
873,330
871,340
892,348
870,220
893,253
894,38
896,88
887,190
895,92
897,156
899,42
900,67
903,18
898,261
905,202
901,86
902,238
904,115
916,198
917,67
918,64
911,318
919,120
920,19
921,267
922,244
923,116
924,55
925,150
926,78
928,322
929,212
927,128
906,289
932,209
933,152
934,343
935,222
915,90
930,263
914,279
936,208
931,12
732,343
937,219
938,336
939,76
940,313
941,198
942,215
946,227
945,29
908,103
943,163
909,294
907,279
944,340
910,241
912,78
954,88
949,191
957,109
956,294
959,197
960,117
955,267
962,139
961,118
963,71
958,183
966,267
967,154
964,229
968,45
969,143
965,211
971,74
970,54
947,302
950,58
952,154
948,249
953,239
951,6
972,124
974,302
973,329
975,335
976,156
978,68
979,256
913,239
980,304
982,180
984,223
983,191
985,40
987,184
986,11
988,131
989,3
990,44
991,142
992,158
993,216
994,86
981,255
998,242
1006,329
1001,135
1005,269
977,241
1008,64
1007,34
1011,4
1009,135
1012,181
1014,149
1013,65
1015,84
1016,112
1010,333
1017,103
1019,64
1018,290
1020,26
995,306
1022,228
1003,126
1004,304
999,257
1002,62
1021,164
997,46
1023,167
1025,187
1026,68
1024,100
1000,219
1027,160
996,339
1028,279
1030,144
1032,168
1031,304
1033,216
1036,152
1035,178
1037,75
1038,168
1039,54
1040,195
1041,231
1043,65
1042,246
1034,200
1048,31
1047,26
1049,72
1051,97
1052,102
1053,241
1046,134
1050,114
1054,35
1055,21
1056,29
1058,346
1059,174
1060,18
1061,40
1063,196
1064,147
1044,315
1029,59
1062,233
1045,251
1057,146
1071,24
1065,321
1072,246
1074,163
1073,33
1075,340
1077,309
1076,38
1078,164
1080,158
1079,27
1081,272
1082,97
1083,147
1084,229
1086,282
1068,76
1087,143
1089,290
1088,61
1090,96
1091,137
1092,120
1093,338
1094,284
1095,186
1096,209
1097,112
1098,340
1100,8
1085,300
1099,270
1102,299
1070,178
1101,59
1069,346
1066,306
1103,46
1067,16
1105,95
1106,73
1108,118
1116,179
1117,87
1104,141
1120,159
1118,210
1119,338
1122,240
1121,228
1125,223
1124,198
1123,223
1126,51
1115,54
1127,125
1128,139
1129,65
1130,224
1131,43
1132,132
1111,230
1107,106
1114,43
1112,141
1109,28
1110,326
1134,1
1133,68
1135,49
1138,177
1137,219
1136,104
1140,166
1141,220
1139,109
1142,23
1143,246
1144,215
1146,232
1145,130
1147,286
1148,331
1113,8
1158,302
1153,300
1159,249
1161,111
1162,241
1164,70
1163,210
1165,60
1160,27
1166,126
1167,325
1171,340
1170,32
1169,288
1168,18
1155,34
1149,30
1154,266
1156,315
1150,51
1157,38
1151,169
1172,43
1152,187
1173,296
1174,27
1176,29
1178,212
1177,58
1180,13
1181,244
1183,100
1182,181
1184,317
1186,335
1187,337
1175,20
1188,297
1189,257
1190,232
1191,329
1192,158
1179,109
1193,318
1194,43
1196,132
1185,179
1199,140
1197,77
1195,239
1198,175
1200,302
1203,127
1202,297
1201,143
1204,12
1205,206
1207,71
1206,169
1219,141
1220,313
1221,70
1222,341
1223,123
1224,203
1212,270
1225,1
1226,119
1227,255
1228,140
1229,178
1230,327
1231,14
1232,24
1208,338
1235,344
1234,176
1236,10
1213,245
1214,284
1215,96
1209,81
1216,224
1217,25
1211,284
1218,200
1233,345
1237,68
1238,197
1210,253
1240,137
1241,95
1239,157
1243,206
1242,295
1244,87
1246,143
1245,229
1247,15
1248,46
1249,155
1261,231
1260,283
1262,245
1264,18
1265,274
1263,270
1266,248
1257,155
1269,84
1268,8
1270,270
1272,191
1271,234
1273,62
1267,109
1274,53
1255,321
1256,73
1258,64
1254,280
1280,334
1279,236
1281,196
1283,320
1282,2
1284,300
1287,278
1285,125
1288,269
1290,145
1286,76
1291,304
1292,225
1289,146
1293,78
1275,81
1259,70
1276,119
1277,57
1278,107
1253,245
1302,320
1252,268
1303,66
1305,163
1250,138
1306,66
1301,77
1308,57
1310,200
1307,221
1311,88
1313,238
1314,69
1309,7
1312,309
1304,161
1251,186
1315,209
1295,88
1296,81
1294,195
1321,181
1322,280
1323,247
1324,313
1325,189
1326,94
1327,139
1328,63
1329,257
1319,94
1330,169
1331,335
1333,108
1334,113
1335,266
1336,260
1337,320
1338,18
1316,143
1320,252
1298,55
1332,101
1341,25
1342,289
1343,328
1318,192
1344,50
1345,178
1300,176
1346,102
1347,287
1348,83
1349,47
1350,181
1352,247
1351,101
1353,287
1354,140
1355,303
1356,154
1360,41
1361,108
1362,104
1363,346
1359,272
1365,285
1366,286
1367,182
1364,172
1299,201
1368,219
1369,321
1371,82
1370,50
1373,144
1372,11
1340,1
1358,111
1357,23
1297,275
1380,265
1317,250
1381,13
1382,2
1383,226
1385,7
1386,138
1384,340
1387,76
1376,91
1388,88
1389,350
1390,280
1393,255
1374,122
1379,177
1397,326
1398,112
1377,165
1378,280
1391,67
1392,217
1394,141
1395,316
1375,19
1396,277
1400,84
1401,271
1402,225
1403,66
1399,150
1405,324
1339,33
1406,343
1404,338
1409,232
1411,91
1407,269
1408,221
1410,205
1420,43
1415,332
1422,286
1423,279
1424,26
1425,290
1426,269
1427,105
1428,282
1429,281
1421,82
1431,143
1432,306
1433,60
1414,321
1413,24
1437,237
1430,157
1439,64
1438,64
1412,187
1417,92
1418,243
1416,25
1441,298
1442,222
1443,56
1440,122
1444,347
1445,299
1447,236
1446,287
1448,158
1434,319
1419,45
1435,96
1436,121
1460,165
1461,155
1454,165
1462,51
1463,224
1464,99
1465,222
1466,1
1467,325
1469,127
1468,212
1471,333
1470,78
1472,273
1473,269
1452,99
1476,252
1477,274
1475,156
1453,109
1455,70
1458,269
1456,300
1457,83
1459,188
1449,102
1450,149
1451,107
1474,337
1478,292
1479,318
1481,190
1482,226
1480,207
1483,306
1484,196
1485,349
1486,161
1487,276
1489,335
1488,300
1491,186
1492,325
1490,252
1493,233
1494,74
1495,21
1496,185
1497,259
1498,293
1499,251
1500,10
1504,215
1511,345
1512,6
1513,68
1510,56
1515,124
1514,284
1516,65
1517,89
1520,104
1518,1
1521,198
1522,186
1524,64
1523,346
1525,292
1519,15
1505,168
1507,79
1508,190
1506,208
1532,262
1533,281
1502,23
1534,119
1535,192
1537,148
1536,301
1538,24
1539,119
1540,167
1531,299
1542,1
1541,5
1543,110
1544,178
1545,293
