id,gravedad,descripcion,tipo_incidencia,fecha_reporte,fecha_cierre
12,Critica,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-14T01:21:10Z,2026-09-14T09:21:10Z
9,Leve,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-24T05:50:03Z,2026-08-26T02:50:03Z
14,Alta,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-29T23:48:14Z,
15,Alta,Bloqueo temporal en acceso Sur por vehiculo averiado,Saturacion_Vial,2026-09-26T14:28:40Z,2026-09-28T05:28:40Z
13,Leve,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-31T13:26:38Z,2026-09-01T19:26:38Z
16,Moderada,Cola de espera en TWY B2 superior a 54 min,Saturacion_Vial,2026-09-23T16:49:35Z,2026-09-26T05:49:35Z
17,Moderada,Bloqueo temporal en acceso Cargas por vehiculo averiado,Saturacion_Vial,2026-09-20T02:38:56Z,2026-09-21T22:38:56Z
18,Leve,Bloqueo temporal en acceso Norte por vehiculo averiado,Saturacion_Vial,2026-09-05T02:30:04Z,
20,Moderada,Cola de espera en TWY B2 superior a 43 min,Saturacion_Vial,2026-09-19T08:04:15Z,2026-09-20T14:04:15Z
19,Leve,Radar reporta ecos fantasma tras 26 min de operacion,Falla_Radar,2026-09-22T20:05:28Z,2026-09-25T19:05:28Z
21,Moderada,Falla del sistema de barrido primario (Banda S),Falla_Radar,2026-08-23T13:25:53Z,2026-08-24T16:25:53Z
23,Leve,Anomalia detectada durante inspeccion rutinaria,Otro,2026-08-23T18:02:40Z,2026-08-26T08:02:40Z
6,Moderada,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-09-22T02:57:47Z,2026-09-23T03:57:47Z
24,Alta,Congestion en calle de rodaje A1,Saturacion_Vial,2026-09-21T09:44:01Z,2026-09-22T14:44:01Z
22,Alta,Cola de espera en TWY D4 superior a 108 min,Saturacion_Vial,2026-09-03T08:57:47Z,2026-09-04T22:57:47Z
25,Critica,Congestion en calle de rodaje B2,Saturacion_Vial,2026-08-21T03:29:02Z,
7,Moderada,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-22T12:28:45Z,
3,Leve,"Filtracion mayor en Espigón C, riesgo de corto en instalaciones",Inundacion,2026-09-20T11:16:41Z,2026-09-21T02:16:41Z
8,Leve,Acumulacion de agua en Espigón B tras lluvias intensas,Inundacion,2026-08-18T09:06:28Z,2026-08-20T21:06:28Z
1,Leve,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-09-03T20:44:42Z,2026-09-06T03:44:42Z
4,Moderada,Bloqueo temporal en acceso Cargas por vehiculo averiado,Saturacion_Vial,2026-08-07T04:18:02Z,2026-08-09T22:18:02Z
29,Moderada,Acumulacion de agua en zona de rampa tras lluvias intensas,Inundacion,2026-09-16T11:11:10Z,2026-09-17T10:11:10Z
2,Leve,Radar reporta ecos fantasma tras 92 min de operacion,Falla_Radar,2026-09-14T05:08:36Z,2026-09-16T00:08:36Z
5,Alta,Aerolinea reporta suministro insuficiente en surtidor 2,Falta_Combustible,2026-09-23T23:58:58Z,2026-09-24T14:58:58Z
26,Alta,Aerolinea reporta suministro insuficiente en surtidor 9,Falta_Combustible,2026-08-22T00:21:12Z,
27,Leve,Bloqueo temporal en acceso Norte por vehiculo averiado,Saturacion_Vial,2026-08-19T15:03:13Z,
28,Moderada,Falla del sistema de barrido primario (Banda X),Falla_Radar,2026-08-11T18:49:43Z,2026-08-12T05:49:43Z
30,Alta,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-08-19T17:25:34Z,2026-08-21T05:25:34Z
11,Moderada,Radar reporta ecos fantasma tras 63 min de operacion,Falla_Radar,2026-09-02T12:51:53Z,
31,Moderada,Aerolinea reporta suministro insuficiente en surtidor 5,Falta_Combustible,2026-08-16T15:47:22Z,
32,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-31T11:02:59Z,2026-08-31T20:02:59Z
10,Alta,Falla del sistema de barrido primario (Banda C),Falla_Radar,2026-09-04T05:50:53Z,
33,Leve,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-09T09:57:43Z,2026-08-09T18:57:43Z
35,Moderada,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-29T07:22:23Z,
34,Leve,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-09-11T13:30:54Z,
36,Critica,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-08-15T02:51:22Z,
38,Moderada,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-09-19T10:55:02Z,
37,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-14T07:45:16Z,2026-08-16T01:45:16Z
39,Alta,Acumulacion de agua en Espigón A tras lluvias intensas,Inundacion,2026-08-19T13:11:11Z,
41,Leve,Aerolinea reporta suministro insuficiente en surtidor 12,Falta_Combustible,2026-09-29T21:12:54Z,2026-10-02T12:12:54Z
40,Moderada,Alerta preventiva reportada por sistema SCADA,Otro,2026-09-15T04:15:59Z,
43,Moderada,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-05T01:47:22Z,2026-08-07T07:47:22Z
42,Moderada,"Colector obstruido, agua superando 11 cm sobre nivel operativo",Inundacion,2026-08-26T18:23:29Z,2026-08-29T13:23:29Z
44,Critica,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-04T19:47:44Z,2026-09-07T13:47:44Z
45,Leve,"Filtracion mayor en Espigón A, riesgo de corto en instalaciones",Inundacion,2026-09-15T05:11:09Z,2026-09-17T11:11:09Z
46,Moderada,"Colector obstruido, agua superando 9 cm sobre nivel operativo",Inundacion,2026-08-15T03:54:29Z,
47,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-30T05:20:47Z,
48,Alta,Congestion en calle de rodaje B2,Saturacion_Vial,2026-09-08T23:55:16Z,2026-09-11T03:55:16Z
50,Moderada,Radar reporta ecos fantasma tras 73 min de operacion,Falla_Radar,2026-08-30T10:50:34Z,
51,Critica,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-22T18:21:36Z,
54,Moderada,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-09-15T14:11:21Z,2026-09-18T01:11:21Z
63,Moderada,Alerta preventiva reportada por sistema SCADA,Otro,2026-09-02T07:49:48Z,2026-09-05T02:49:48Z
64,Alta,Acumulacion de agua en Espigón A tras lluvias intensas,Inundacion,2026-08-24T09:21:11Z,2026-08-25T17:21:11Z
65,Leve,Bloqueo temporal en acceso Cargas por vehiculo averiado,Saturacion_Vial,2026-09-28T05:40:10Z,2026-09-29T22:40:10Z
53,Alta,Bloqueo temporal en acceso Sur por vehiculo averiado,Saturacion_Vial,2026-08-05T00:03:06Z,2026-08-06T03:03:06Z
66,Alta,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-09-26T06:52:27Z,2026-09-27T20:52:27Z
49,Alta,Cola de espera en TWY D4 superior a 44 min,Saturacion_Vial,2026-08-08T08:08:34Z,2026-08-10T01:08:34Z
68,Moderada,Perdida intermitente de retorno en Banda X,Falla_Radar,2026-08-18T19:26:29Z,2026-08-18T21:26:29Z
67,Alta,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-06T13:33:18Z,2026-08-08T23:33:18Z
69,Moderada,Cola de espera en TWY C3 superior a 19 min,Saturacion_Vial,2026-09-19T04:45:07Z,2026-09-21T07:45:07Z
70,Leve,Congestion en calle de rodaje D4,Saturacion_Vial,2026-08-03T19:27:17Z,2026-08-04T08:27:17Z
71,Leve,Cola de espera en TWY C3 superior a 83 min,Saturacion_Vial,2026-09-28T18:16:38Z,2026-10-01T07:16:38Z
62,Moderada,"Filtracion mayor en zona de rampa, riesgo de corto en instalaciones",Inundacion,2026-08-13T17:29:12Z,
73,Leve,Bloqueo temporal en acceso Norte por vehiculo averiado,Saturacion_Vial,2026-08-31T03:52:51Z,2026-08-31T21:52:51Z
