id_incidencia,id_recurso
12,323
12,280
9,69
9,293
9,240
14,312
15,36
15,362
15,399
13,482
13,341
16,85
16,208
17,295
18,318
18,111
18,43
20,347
19,404
19,397
21,418
21,425
21,382
23,47
23,377
23,402
6,461
6,352
6,235
24,28
22,440
25,200
7,161
7,147
7,98
3,69
3,308
3,394
8,492
1,429
1,273
1,358
4,283
29,293
29,295
29,475
2,482
2,481
5,96
5,10
26,209
26,112
26,222
27,65
27,75
27,249
28,415
30,165
11,411
11,418
11,363
31,79
31,244
31,472
32,305
32,206
10,498
10,397
33,322
33,154
33,205
35,195
35,346
35,7
34,204
34,45
36,349
36,401
36,313
38,470
38,461
37,346
37,255
37,100
39,342
39,17
41,92
40,360
40,103
43,193
43,139
42,13
42,196
42,489
44,169
44,198
45,50
45,18
45,353
46,433
46,492
46,468
47,54
47,273
47,131
48,176
50,449
51,416
51,94
54,60
54,226
54,229
63,444
63,12
63,272
64,15
65,194
65,75
65,340
53,13
66,202
66,260
49,479
68,417
67,47
69,478
69,296
70,189
70,50
70,97
71,376
62,49
73,334
73,76
73,434
74,362
74,155
74,13
75,288
57,296
57,114
72,294
79,13
79,248
79,234
81,359
81,495
81,446
52,131
52,456
52,310
83,325
83,208
82,291
80,413
80,401
80,418
84,239
84,452
78,237
78,410
85,126
85,99
61,256
61,492
87,60
88,71
88,138
88,231
89,409
91,491
91,465
91,332
92,155
92,163
86,165
86,79
90,42
90,261
90,82
93,341
93,258
93,120
94,167
94,197
94,323
56,439
56,263
56,230
76,14
76,267
76,98
58,426
58,119
77,244
77,118
102,350
97,96
97,146
97,323
103,412
103,353
104,203
104,327
104,267
59,316
59,55
107,83
106,245
106,58
106,60
108,176
108,199
105,199
105,165
105,233
110,214
109,401
111,353
113,93
113,169
113,278
101,248
101,345
101,166
115,371
112,118
112,217
112,191
114,54
114,230
114,445
116,51
116,18
116,117
55,384
98,328
117,412
117,209
117,178
60,341
60,324
99,342
99,130
99,25
96,474
96,496
118,317
100,280
100,220
119,170
119,301
120,113
120,95
120,162
95,13
95,182
121,346
121,443
124,3
124,36
123,368
126,434
122,368
125,485
125,407
125,438
127,170
130,103
130,89
128,161
132,373
132,459
132,437
131,210
133,123
133,196
134,452
135,158
135,173
137,90
137,419
137,288
136,208
136,52
136,369
138,411
138,257
140,174
139,155
139,164
141,281
142,473
129,279
129,107
129,438
143,339
148,199
148,153
148,395
151,330
149,142
149,331
153,248
153,109
153,139
150,179
150,122
159,486
160,214
144,461
144,376
144,358
158,139
155,205
155,297
155,396
161,440
161,291
162,298
163,13
163,127
163,378
145,36
145,148
164,182
164,37
164,123
154,499
154,393
154,452
156,470
156,400
156,357
167,117
167,194
167,42
168,263
168,163
168,432
171,449
172,165
172,106
157,121
176,86
177,303
177,345
177,134
169,225
169,194
169,435
179,2
179,228
179,288
180,106
180,229
180,42
170,233
170,86
183,324
183,203
183,262
182,443
184,220
146,190
186,466
186,324
185,122
187,353
187,240
190,273
188,295
191,12
192,228
193,452
189,442
189,403
189,411
194,176
194,7
152,169
195,312
195,241
147,149
165,449
165,486
165,453
196,457
196,389
196,359
166,469
166,411
166,445
173,249
173,354
175,293
175,193
174,492
174,331
174,73
178,247
178,401
197,190
197,340
197,160
199,132
198,215
198,203
200,58
200,319
202,143
202,346
202,315
201,434
201,464
203,167
203,180
203,346
204,132
204,270
204,157
205,352
205,230
206,413
208,498
208,381
208,397
209,340
209,112
209,273
207,160
207,209
210,323
210,196
210,417
213,464
213,209
181,200
222,297
222,436
222,35
216,98
216,272
216,257
223,180
223,205
223,284
225,126
225,241
226,426
224,392
224,235
224,368
221,273
227,402
228,142
228,21
228,267
218,420
218,457
218,380
220,357
229,485
229,191
230,284
231,218
231,494
219,159
219,52
232,374
232,361
237,86
234,97
233,60
233,475
235,230
235,285
239,53
239,220
236,271
236,456
214,258
215,306
211,42
212,370
217,77
217,296
217,75
238,136
242,374
242,358
242,441
240,141
243,491
243,378
241,286
241,47
244,45
248,182
248,53
248,414
245,286
245,467
245,42
250,267
250,85
247,479
251,316
251,310
249,295
249,114
254,370
253,6
253,342
255,330
252,283
246,335
256,241
256,300
258,150
258,327
258,235
260,48
260,30
260,333
259,273
259,109
259,27
270,390
270,416
270,417
264,255
271,275
271,241
266,485
266,443
272,398
272,233
272,49
274,197
274,216
276,226
276,67
276,294
273,362
273,194
275,136
275,328
278,303
278,494
257,499
257,38
257,148
279,500
279,419
279,381
280,44
280,392
277,125
277,200
284,462
281,249
281,127
281,168
283,198
283,92
263,283
286,316
286,223
267,48
267,173
265,111
265,140
269,423
262,170
268,187
268,87
261,491
285,89
285,464
285,243
287,147
287,269
287,211
289,74
289,175
282,450
282,372
294,171
294,122
294,391
292,109
291,167
291,366
291,128
295,106
295,393
295,488
296,174
298,79
298,151
297,156
297,170
302,252
300,195
300,318
