id_incidencia,id_vuelo
20,18396
20,17699
19,5306
19,10831
19,8670
21,6437
21,14962
21,15111
21,20603
21,514
6,7859
6,10301
6,1549
6,8652
6,12613
22,1047
22,660
25,12679
25,3908
7,5309
1,20200
1,16557
1,17719
1,11948
1,6870
4,11910
2,17553
5,5950
5,16782
5,19285
5,12739
5,552
26,1456
27,2968
27,7471
27,583
27,19048
27,10655
30,10729
30,9964
31,19582
31,16332
32,185
32,8276
10,15856
10,5380
10,1900
10,96
33,4713
33,11604
33,3259
33,2235
33,19252
34,11015
37,10369
37,17958
37,3453
37,14982
41,2330
41,7651
41,12200
41,4176
41,9070
44,4656
44,6340
44,11684
44,23767
44,10159
45,23964
45,19129
45,14665
50,23482
50,5920
50,22214
50,6100
50,11822
51,19047
51,9657
51,24724
51,4392
51,13583
54,10786
54,13383
54,24666
54,658
53,3764
53,15380
53,14405
66,15787
49,3425
67,4574
67,9274
67,5485
67,12044
70,23011
70,23847
70,12248
70,8869
70,3669
71,5944
71,6132
71,10299
62,22490
62,23550
62,13695
62,6034
62,2527
73,764
73,12318
73,15550
73,7469
73,13517
74,23191
74,17936
74,456
75,18095
75,9570
75,4565
72,20044
72,534
72,3545
72,12566
72,9851
79,18658
79,2522
52,15134
52,13312
80,9792
80,18816
80,1723
80,17897
84,23240
84,24118
78,4884
78,8155
78,13863
85,4785
61,1969
61,1305
61,3673
87,21966
87,23948
87,20729
89,23078
89,6621
89,6206
89,9280
92,22417
90,21800
90,7389
90,15996
90,5540
90,11104
76,19756
58,11888
58,15436
58,16714
77,23514
102,21109
102,12462
102,13786
59,13475
59,2928
59,23296
59,20718
107,10332
107,22256
106,12984
106,6139
106,3446
108,17966
108,1123
108,12579
110,13036
110,6072
111,18041
111,18414
111,9597
111,4939
111,22167
113,8399
101,8861
101,1592
101,10556
101,12056
101,9004
115,13668
112,3065
114,8805
116,9387
116,7329
116,20749
116,6414
116,23757
55,18235
55,3586
55,3193
55,15291
117,1793
117,14692
117,16141
99,831
99,1219
99,24937
96,3034
96,15986
96,20143
96,23378
96,921
120,788
120,5821
121,4503
121,5774
121,3667
121,22892
124,22239
124,15011
124,4683
124,23664
123,13003
123,9881
123,20619
123,21310
122,3590
122,22745
128,19721
128,4887
133,9464
133,8361
133,19856
133,2366
133,14363
134,24955
134,9375
134,8411
134,24774
134,24475
137,21130
137,16279
136,21388
136,5653
136,18855
136,1382
138,16735
138,23568
138,5801
138,8071
142,9950
142,11608
142,2104
129,3572
129,24492
129,392
129,20610
129,9704
143,642
143,23326
143,17986
143,19348
143,11640
153,24283
153,1743
153,12368
153,23320
153,5318
150,17275
150,2124
150,10
150,5673
150,4491
144,16871
144,732
144,14468
144,2367
144,3138
158,21190
158,8701
158,10275
158,19487
158,9426
155,11064
155,5105
155,10954
161,12518
161,11133
161,1470
161,2017
161,7097
162,18403
163,16523
163,5160
163,11655
145,15952
145,21249
164,3080
164,20007
164,1409
164,4062
164,11470
154,21024
154,1643
154,434
154,8725
156,13361
156,14106
156,23809
167,15020
167,17091
167,17484
167,13496
167,14632
168,24205
168,6545
168,13848
168,9532
168,11670
157,23517
157,21576
157,12970
169,4691
169,4980
169,884
169,8766
169,9151
179,19360
180,8862
170,666
170,10316
170,7174
170,1196
183,20597
183,3976
184,21005
184,24184
184,14250
185,24258
185,2963
185,12664
187,485
187,5772
187,13026
187,13635
188,5459
188,17253
188,2501
188,23666
188,1429
192,13383
192,15527
192,1712
192,2053
193,21741
193,7976
189,4967
189,19605
189,12355
189,13209
152,9136
152,11986
152,18383
152,5521
152,15253
195,18776
195,18244
195,23976
195,8893
195,9574
147,5693
147,21441
147,10770
147,7859
196,3592
196,17313
196,17020
166,19312
166,1013
166,18851
174,15444
178,3447
178,9352
178,8177
178,14005
178,3055
198,24795
198,19987
198,6585
200,7644
203,18698
203,4893
205,19093
205,17288
206,15712
206,2885
207,18071
207,15435
210,17252
210,13839
210,13781
213,4560
213,13372
213,9009
213,10548
181,6837
181,10424
181,1910
181,9298
216,108
216,13969
216,16327
225,15358
226,16816
226,23007
224,8849
224,966
224,4463
224,11786
218,14390
220,3052
220,12924
220,653
220,341
220,7820
231,10356
232,12441
232,15083
232,22036
232,23460
234,19617
234,17081
234,23538
234,17790
234,17521
235,5024
235,24961
235,679
235,18053
215,21386
215,21462
215,7525
211,13410
211,3165
211,13826
238,18609
238,19541
238,18025
242,22629
242,10493
242,19959
242,3159
242,15126
240,12584
240,15407
240,16984
243,15244
243,20720
241,518
241,3487
241,20365
244,10994
244,19320
244,21426
244,19284
244,2271
245,3154
245,3390
249,18609
255,14015
246,10483
256,21987
256,21547
256,17701
260,15139
260,15096
260,10885
259,5129
270,6128
270,11209
270,23448
271,23653
271,14136
271,9415
271,1570
266,4067
266,5588
272,2028
272,24932
272,9816
272,20886
272,17843
274,7298
274,3385
274,23174
274,23329
276,4679
276,4542
275,24695
275,6984
275,16733
279,5019
279,20292
279,24423
279,17099
279,7943
280,18597
280,14743
280,13208
277,17729
277,22586
277,16676
277,24162
277,22384
281,19411
281,18216
281,7409
283,8110
283,18467
286,1135
286,7450
286,20781
267,7083
265,17396
265,5098
269,23406
269,15004
262,15160
262,18098
261,14317
261,10464
261,16699
261,21372
287,19638
287,19255
287,8356
287,792
287,18616
289,24014
292,17654
291,15075
291,658
291,4463
291,24955
295,10380
295,15178
297,4479
297,13030
300,3858
300,10413
300,14396
300,16821
300,2017
293,15674
293,7088
293,14434
293,22512
299,3110
299,14197
299,3096
301,483
301,2558
301,15098
306,5568
306,2057
290,21208
290,23436
290,16491
316,13715
316,8229
316,4925
316,23322
316,18494
320,7239
320,14110
320,1403
320,15045
320,23769
319,24433
319,6830
319,17776
315,17425
315,1212
315,1291
315,10879
307,17462
323,11969
323,11460
323,14736
310,9389
310,1038
310,12599
310,7728
310,2445
325,16352
326,9668
326,9955
326,11194
326,16054
324,22620
324,17450
324,19877
324,11947
324,6477
328,6835
328,2758
328,24666
328,21012
329,2098
329,16640
305,16060
305,9289
305,5327
312,11773
312,13122
312,3136
312,1407
304,7777
304,9463
304,5952
304,295
333,19719
333,1929
333,11404
333,16483
331,24946
331,21252
331,583
334,11777
334,3828
334,18064
334,14287
338,17004
338,4297
338,4660
338,13683
338,1353
342,24998
342,17741
342,11986
342,11825
342,18005
344,4549
344,1631
344,21551
344,19900
344,430
346,19334
346,7324
346,1220
346,4394
349,17058
349,7217
349,5020
350,7730
350,22105
350,19966
351,11987
345,22510
359,19074
356,18696
356,14965
356,19454
356,3109
353,4172
353,17828
362,19767
363,231
363,2495
363,17823
363,4744
374,21940
374,18576
374,12268
374,15496
364,15033
371,8133
371,19968
371,8526
371,9294
369,21828
369,22683
369,7248
369,11741
369,2888
375,18889
378,19176
378,1799
378,23909
378,11943
378,20799
367,3972
367,24478
367,5825
367,16326
373,7351
373,2701
373,14171
373,22511
373,3657
368,10685
368,2102
368,4623
386,17697
386,7131
386,13423
385,7567
382,11649
382,16422
382,8008
382,10904
388,1406
365,8408
390,18417
380,5973
380,14500
380,2012
380,863
336,5205
336,3413
336,3561
395,21652
395,11029
395,17236
395,1731
398,8342
398,19817
398,19254
398,2789
398,19353
400,16842
400,3591
400,3280
400,3321
399,19583
404,5509
404,4972
404,22563
404,1893
404,22073
384,21830
384,6562
384,15284
384,22184
393,21649
393,4267
393,19063
393,9855
379,20153
379,3906
379,3462
379,2171
379,476
401,371
337,18419
337,6095
405,1542
405,812
405,1399
405,12474
405,14856
407,15219
407,7583
407,20576
410,666
408,21375
408,13165
408,16745
408,15608
408,4397
414,18695
414,10388
414,13952
414,7244
417,5871
417,19082
417,12930
413,24656
413,2672
413,24785
418,18193
418,19120
418,20478
418,5040
418,7184
409,17996
421,18201
421,6711
421,13883
421,19659
420,19229
420,22769
420,14938
420,20825
420,23289
423,11428
423,20925
426,6541
426,18930
426,12515
427,17243
427,16466
427,18757
425,1204
425,8108
425,8379
425,81
428,5032
428,5672
428,22422
428,9083
428,19932
429,22574
429,12979
429,17397
429,15618
431,4969
431,7265
435,4618
435,5269
435,20669
445,2287
445,15741
445,5179
447,6852
442,18012
448,10965
448,21025
448,24016
439,24750
439,24221
439,2229
439,18131
450,17747
450,3661
451,22929
451,12878
452,17811
452,13832
452,10945
452,10013
452,23064
453,14285
453,353
453,23519
455,19509
455,17202
455,19930
449,15741
449,21650
449,22096
449,20601
449,13376
458,13387
460,24030
461,23647
461,10471
461,7284
461,5985
461,2330
436,1509
436,10150
436,3740
436,6506
436,2045
437,9451
437,9853
437,15413
440,4600
440,8142
440,6919
440,18375
440,23837
462,4037
462,15738
457,14747
457,24437
457,14484
457,21528
430,1669
430,1787
430,14366
430,11410
430,14925
432,3574
463,13661
463,9076
463,23776
463,2422
463,14818
474,16655
474,15260
474,695
474,8479
475,746
471,9072
478,10726
477,12058
477,18763
480,18976
480,15118
472,11037
481,9601
481,10077
481,10872
473,23839
473,4269
483,2118
483,18971
487,18104
487,6078
487,642
487,23858
487,15355
489,24690
489,19682
489,18069
489,9990
489,23097
486,19357
486,11118
486,23091
486,16357
486,14812
490,6989
490,3369
490,11453
490,3412
493,2778
493,10324
491,11275
491,11369
465,13355
465,14484
468,11678
468,18949
468,24082
468,14340
468,1458
496,2342
496,12111
495,5474
499,6291
499,10064
500,7506
500,8829
501,3674
501,12720
501,3819
497,3471
497,5141
497,2865
497,1307
497,2869
503,18464
504,12626
504,18558
504,16196
504,5697
502,2972
502,9988
502,14779
502,11013
502,3338
507,7916
507,11424
507,13568
507,22247
507,20087
509,15540
509,10282
509,18261
509,10720
509,8384
510,10365
510,24992
510,22955
510,3683
513,2875
513,14750
513,3369
512,850
512,22774
512,16056
512,7055
512,15778
511,17143
515,3767
515,13079
515,6905
517,8073
517,23581
518,1893
518,18852
518,11962
519,22413
519,23150
519,2820
521,8165
521,747
524,19660
524,819
524,7039
525,1273
525,5238
525,5610
525,8159
528,16627
528,530
528,19845
527,2439
527,2241
527,8985
527,9412
530,20243
530,12574
530,24568
531,6477
531,13589
535,13160
532,5118
532,16369
532,6505
532,13485
537,16222
537,10492
537,10343
537,16671
537,5711
534,9407
534,12446
534,18309
538,16492
538,6625
538,18516
538,1355
538,3036
541,327
541,19664
542,12121
542,17929
542,20387
542,13595
544,6929
544,7495
544,371
543,10631
543,23847
543,7007
543,15111
547,15692
547,13444
547,13831
546,4043
546,9742
546,6681
546,19826
546,3352
549,13357
549,12483
549,17569
548,12038
548,20167
548,21597
548,538
552,11755
552,14312
506,18581
506,21165
551,12583
551,19320
551,8327
551,6146
551,16751
553,1142
553,19217
553,20146
553,14548
553,22768
557,21270
557,20796
557,24260
557,24217
557,18363
556,7094
559,4888
562,9130
562,5750
562,1826
562,17650
562,11340
564,13417
564,16534
564,6198
564,15366
568,2368
568,23163
568,13
568,17666
563,4668
563,7513
563,22767
563,19173
567,10252
567,7807
567,18666
576,7011
576,22411
576,18200
576,5789
573,24406
573,14489
583,14438
583,20306
582,15823
582,2399
582,23053
586,13353
586,12636
586,3712
586,6312
587,14740
587,8119
587,6906
587,6043
589,9224
588,2685
588,10520
588,16981
588,3543
588,3769
590,13969
591,16077
591,12940
591,5667
591,22269
591,20893
595,19380
596,10661
596,10933
596,10087
596,12514
594,18901
594,21241
598,5495
598,3006
598,18879
598,24998
598,776
574,4356
574,14891
606,7868
606,18790
606,10870
607,17798
607,4984
605,4402
605,21368
605,9374
605,13365
601,17887
601,23042
601,21488
601,19382
609,20755
609,12193
609,1422
599,14858
599,19161
599,22171
608,16321
608,4004
608,20215
610,18812
610,13626
610,5283
610,20334
612,18857
612,62
612,17308
612,22911
612,4956
615,2408
