id,nombre_tecnico_locacion,tipo,estado_acople,longitud,clase_max,rango_alcance,frecuencia
12,Espigon B - Puente B03,manga,Libre,13.13,E,,
13,Espigon C - Puente C03,manga,Libre,33.68,A,,
3,Espigon C - Puente C01,manga,Ocupado,35.45,A,,
6,Espigon A - Puente A02,manga,Mantenimiento,12.18,F,,
9,Espigon D - Puente D02,manga,Ocupado,13.28,E,,
15,Espigon E - Puente E03,manga,Libre,28.6,D,,
16,Espigon A - Puente A04,manga,Libre,13.17,A,,
17,Espigon B - Puente B04,manga,Ocupado,35.2,E,,
18,Espigon C - Puente C04,manga,Libre,41.75,F,,
14,Espigon D - Puente D03,manga,Libre,29.71,B,,
19,Espigon D - Puente D04,manga,Libre,17.23,A,,
22,Espigon B - Puente B05,manga,Libre,26.37,B,,
21,Espigon A - Puente A05,manga,Libre,41.46,E,,
23,Espigon C - Puente C05,manga,Ocupado,37.23,E,,
24,Espigon D - Puente D05,manga,Libre,23.45,D,,
25,Espigon E - Puente E05,manga,Mantenimiento,28.64,A,,
20,Espigon E - Puente E04,manga,Libre,27.64,F,,
5,Espigon E - Puente E01,manga,Libre,13.71,B,,
2,Espigon B - Puente B01,manga,Ocupado,27.4,E,,
26,Espigon A - Puente A06,manga,Libre,35.68,D,,
8,Espigon C - Puente C02,manga,Ocupado,31.24,B,,
29,Espigon D - Puente D06,manga,Ocupado,29.2,F,,
1,Espigon A - Puente A01,manga,Libre,41.44,E,,
28,Espigon C - Puente C06,manga,Libre,31.38,E,,
27,Espigon B - Puente B06,manga,Libre,28.67,A,,
10,Espigon E - Puente E02,manga,Ocupado,13.46,F,,
11,Espigon A - Puente A03,manga,Ocupado,15.71,C,,
30,Espigon E - Puente E06,manga,Ocupado,41.47,B,,
31,Espigon A - Puente A07,manga,Libre,13.39,D,,
7,Espigon B - Puente B02,manga,Ocupado,29.71,B,,
32,Espigon B - Puente B07,manga,Libre,18.16,B,,
34,Espigon D - Puente D07,manga,Mantenimiento,41.61,C,,
33,Espigon C - Puente C07,manga,Ocupado,13.55,F,,
36,Espigon A - Puente A08,manga,Libre,21.42,C,,
35,Espigon E - Puente E07,manga,Ocupado,31.33,A,,
37,Espigon B - Puente B08,manga,Ocupado,39.94,E,,
39,Espigon D - Puente D08,manga,Libre,34.85,E,,
40,Espigon E - Puente E08,manga,Libre,32.54,B,,
38,Espigon C - Puente C08,manga,Ocupado,24.06,C,,
42,Espigon B - Puente B09,manga,Ocupado,17.18,B,,
41,Espigon A - Puente A09,manga,Libre,22.0,C,,
43,Espigon C - Puente C09,manga,Ocupado,23.91,A,,
46,Espigon A - Puente A10,manga,Libre,24.12,E,,
48,Espigon C - Puente C10,manga,Libre,38.33,A,,
45,Espigon E - Puente E09,manga,Ocupado,29.07,A,,
49,Espigon D - Puente D10,manga,Libre,38.58,F,,
50,Espigon E - Puente E10,manga,Libre,41.85,D,,
51,Espigon A - Puente A11,manga,Ocupado,29.34,C,,
53,Espigon C - Puente C11,manga,Ocupado,20.11,E,,
54,Espigon D - Puente D11,manga,Libre,34.09,F,,
52,Espigon B - Puente B11,manga,Libre,15.66,E,,
55,Espigon E - Puente E11,manga,Libre,12.4,D,,
56,Espigon A - Puente A12,manga,Libre,18.95,E,,
58,Espigon C - Puente C12,manga,Ocupado,16.45,E,,
57,Espigon B - Puente B12,manga,Mantenimiento,18.64,B,,
44,Espigon D - Puente D09,manga,Mantenimiento,17.13,A,,
59,Espigon D - Puente D12,manga,Libre,31.13,E,,
61,Espigon A - Puente A13,manga,Ocupado,21.45,F,,
60,Espigon E - Puente E12,manga,Libre,32.24,A,,
62,Espigon B - Puente B13,manga,Libre,25.73,D,,
64,Espigon D - Puente D13,manga,Libre,27.14,A,,
66,Espigon A - Puente A14,manga,Ocupado,22.46,F,,
63,Espigon C - Puente C13,manga,Ocupado,32.23,A,,
67,Espigon B - Puente B14,manga,Ocupado,29.16,F,,
4,Espigon D - Puente D01,manga,Mantenimiento,20.94,A,,
68,Espigon C - Puente C14,manga,Libre,20.75,C,,
65,Espigon E - Puente E13,manga,Libre,26.46,A,,
